Year,Month,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1990,1,5.0429497,4.0465407,3.8293176,5.2821293,6.893533,4.1478667,6.4506645,4.4486947,4.2316666,3.386991,9.451543,4.657476,6.333282,3.5442712,4.9026723,6.752373,3.9815707,8.228524,4.6999354,3.723141,3.7578356,3.3106039,3.3726716,5.5900526,5.558162,5.606092,3.8155808,6.639221,5.960893,3.8628745,3.6487308,2.2257087,2.0528595,3.2559857,5.383129,7.221224,5.7351465,7.2100835,8.101585,7.716917,11.231877,6.552178,6.6976986,3.7352004,5.991717,6.5057926,5.441106,8.875546,4.74462,5.5086308,6.207733,6.245615,2.4499977,11.298026,3.8946455,4.083714,4.937372,7.330806,7.019352,2.983698,4.1361876,10.845026,4.2422895,3.7036452,4.774726,4.2776628,6.031363,4.9071727,3.157572,4.4793735,11.437113,4.7620497,4.828057,11.1838255,5.2935567,3.9565911,8.157744,5.947318,6.7485228,6.847926,5.621736,4.51796,3.8057342,6.111549,5.247955,3.1627254,5.27366,3.3932006,6.2647567,6.173564,4.674408,8.053717,7.6470757,8.548271,5.632455,6.7725277,4.8550377,5.1053395,3.4811008,7.425271,2.9531565,4.306109,5.790756,4.6818094,7.917771,4.5198216,2.9076877,5.161067,6.912466,7.2507796,5.0649977,5.9662113,10.3152075,8.875255,3.7552166,6.3632226,4.9224377,4.8180404,5.976886,2.9707148,6.120857,3.3323596,8.798629,8.34721,5.7103486,5.5578675,5.399317,5.258724,6.397306,5.069802,5.698609,3.6404889,5.980469,7.617478,7.6280065,5.670148,3.7941756,6.08805,7.572098,4.5287294,6.5680003,3.2459369,4.9687943,3.9446561,5.768213,4.5780454,5.3641863,7.54068,4.2127876,4.0727863,4.1942024,5.467364,3.9592898,9.311797,6.7276936,4.7367105,4.4799743,4.700739,7.3267603,5.818553,6.9518514,5.1916795,4.5857415,4.900836,6.174343,5.077898,5.7743917,4.28768,5.2079597
1990,2,4.9969277,3.9592495,4.480343,5.87313,5.8672886,4.6239405,6.083574,5.676104,4.6001024,2.7941012,11.880071,5.2325983,6.87217,3.5630965,5.646018,8.239584,4.89686,8.618942,4.608968,3.035241,3.3514535,3.185499,3.5549357,5.4609523,4.795954,6.065769,6.1167216,5.8257256,5.5848284,4.319113,3.7994635,2.3686838,2.2567687,3.1096413,4.8938537,7.609247,7.234537,8.497922,10.076725,6.07387,12.451882,6.5638676,6.2584906,3.3755054,6.1649933,5.1721106,6.0808854,9.885124,4.3784337,6.9085455,6.0383134,9.033482,2.316791,13.374408,3.9278977,4.658971,4.6243052,5.904294,4.581089,2.7407122,5.5243096,10.751896,3.942518,3.4194694,4.3454328,4.9667034,6.0591335,6.3841114,2.8175013,4.5206766,13.339236,5.351717,5.427409,9.836722,5.233827,5.022523,7.084786,5.720708,5.8662944,6.9096165,4.9994974,3.8841553,3.7504754,5.398322,5.6214585,3.1954331,5.836568,3.569061,5.869834,5.316434,4.404316,8.457394,10.374617,9.218117,5.5492787,7.226303,4.4875665,5.439421,4.5400925,7.4615383,3.1271036,5.1491337,5.953905,4.31501,7.6728797,4.054944,2.9931748,5.1075144,6.756308,7.718563,5.6989107,5.2524047,12.570743,8.261218,3.7830997,5.1791883,5.8178062,4.817608,6.2846293,2.8117135,6.0584044,2.9864779,9.4670315,7.7591057,4.983552,5.487646,4.3809247,5.01556,6.3803797,5.887392,6.100337,2.782184,5.9876857,7.345803,6.880447,4.786803,3.6485496,5.326208,7.0275073,5.719811,6.3781996,2.9991996,6.15014,4.6722727,6.7136292,3.9352655,5.749778,7.4309926,4.766431,4.2803426,3.639451,5.6433744,2.8239825,7.765204,5.415991,5.8301406,3.8773534,3.3895445,7.51125,5.813996,6.700435,5.587439,4.3891263,4.921419,4.663878,5.1794,5.255224,3.9699202,4.7386127
1990,3,5.2742853,3.6095154,4.231171,5.7127447,6.56008,4.3113585,6.6747484,5.578482,4.8799067,3.1183789,8.10944,5.538764,7.4024196,3.7881021,5.4312873,7.8982463,4.475023,9.81647,4.7893324,3.5110843,3.3813183,2.8004751,3.8786218,4.9421024,5.270932,6.499898,4.045959,6.396595,5.597622,4.3619103,3.86985,2.1983364,2.2369292,2.9597833,5.226175,7.388034,5.7521367,8.157744,8.243655,6.4822583,11.36895,6.3192844,6.3356476,3.7351432,6.437894,5.7111406,6.353502,9.994194,4.408684,6.473062,8.157031,6.101371,2.1330469,10.633701,4.1057897,4.7324104,4.611932,5.581812,4.972196,2.4452937,4.9615135,10.176516,4.0216656,3.3505383,4.454125,5.033083,5.6558967,6.33541,2.8874457,4.767639,10.690372,5.4925785,5.873249,9.73467,5.2954607,4.683483,7.048163,5.983398,6.5423436,8.158932,5.258471,3.984014,3.4946113,5.9687133,6.4395943,3.2903647,5.0278482,3.7564843,6.0037932,4.168855,4.8603044,9.065899,7.3238783,9.680792,6.168453,7.520375,4.348406,5.3998365,4.150462,6.9916954,3.2930856,4.7241006,5.7497563,4.6374693,7.482275,5.0902567,2.5472143,4.5187216,8.616734,7.8332396,5.950319,5.4302306,9.217305,8.494514,4.070342,6.1187086,5.466908,5.1415834,6.6129284,2.908742,5.797605,3.6274686,9.611643,7.558396,5.549486,6.885407,5.476454,5.084879,6.2695947,5.9989815,6.998757,3.2359726,6.399162,8.017465,6.5469236,5.7647133,3.738256,5.311761,6.6720514,5.133963,6.3783293,2.9614499,5.9211626,4.7015934,6.801152,4.083465,5.7581916,7.990245,5.0831747,4.11186,3.5825777,5.9446692,3.653309,8.16473,5.833044,4.962276,4.176365,3.8087118,8.637114,5.585113,6.3308697,6.1126537,4.334848,4.7890472,7.9864945,5.2418838,5.1887646,5.055817,5.2329335
1990,4,5.2494035,3.7895048,4.3961363,5.7013135,6.600916,4.3471437,6.109995,4.750017,4.398561,3.3593533,7.1708136,5.3216777,5.0685387,5.552336,4.7726088,6.2443895,4.6200123,6.0249524,4.3587575,3.6799502,3.4220905,2.597701,4.044413,5.6213245,4.773801,5.96411,3.8567438,6.2713118,6.289179,4.291109,3.387387,2.3794754,2.2154353,2.562152,4.3245206,6.326153,5.4051814,6.021582,6.54637,6.179947,8.076558,5.1803346,6.4814687,3.320778,6.3050065,6.208505,6.2905793,6.1185455,3.9475815,5.251713,6.3948936,6.192329,2.2531235,7.9236383,3.5956485,4.947193,4.5227427,6.147354,5.150969,2.6675599,4.6862864,9.464204,3.567018,3.0188427,3.8554406,5.215314,4.834384,6.0020695,2.5008426,5.47467,8.101938,5.62762,5.4730005,8.875743,4.941232,5.0474544,6.0368776,5.931639,6.5819936,6.989763,4.623104,4.1048436,3.8151746,6.431564,5.9094725,3.4840517,4.9160447,3.725829,6.597377,4.4755797,4.450005,5.124445,6.7033124,5.608798,6.636438,6.0867653,4.639998,5.2119527,4.1924777,6.3897314,3.5306196,4.8385725,7.0666766,4.835681,6.937277,5.4147515,2.2636502,5.068544,7.5357733,5.932417,5.2649746,4.6546392,7.588349,7.7471633,4.597006,6.5064483,5.210525,5.3362074,5.5964794,2.6882682,4.9502563,2.8165264,6.4129004,6.2794037,6.113115,6.8142595,5.7792377,4.629613,6.3619885,5.0681057,6.3743286,3.113979,5.932426,6.733795,6.6849895,4.6119366,3.7167454,4.2316155,4.5445848,4.8413877,5.2287407,2.7729948,5.2011547,4.5515957,5.4304705,4.2438736,5.577251,6.391488,5.0823083,4.2554064,3.78975,5.641534,3.3372266,7.3875213,6.5846014,5.0876646,4.2935557,3.496542,6.033946,5.248838,6.096686,5.430566,3.8390675,4.830312,6.5078917,5.047121,5.395139,5.1097713,5.320097
1990,5,5.842444,4.7023544,3.4284976,5.6947064,6.7327356,4.588037,6.3531795,3.5586176,5.084275,4.131566,5.553835,4.9985566,5.4070683,4.649096,4.2393203,6.251712,3.5551918,6.010695,4.6618905,3.5651267,3.6179917,2.2021937,3.8254347,5.78979,4.102614,5.3410773,3.107881,6.3011003,5.550701,4.2313185,2.9580884,2.7599096,2.086707,2.589961,3.6992981,6.4772224,4.73717,4.6885,5.0354414,4.782187,5.938135,5.7781878,6.352143,4.0702047,6.671565,5.128643,4.7183213,7.0964108,4.6361628,5.1383386,5.7640953,4.5617094,2.194868,5.3664207,3.9024875,4.694972,4.430117,5.3825135,5.374022,2.6634345,3.8372855,8.641768,3.361008,2.8933287,3.661615,3.9380877,5.190898,4.468793,2.6105738,5.4515386,5.716897,5.914247,6.0991015,5.2769823,4.646558,3.8809674,7.714511,5.821962,5.064701,6.9545207,5.7771373,4.032157,3.4097009,5.977981,5.890623,2.6799805,4.5305433,3.888873,7.133952,8.013346,4.584957,5.3761535,5.269368,6.057377,6.3336096,5.805567,5.59082,5.1960273,3.5306385,6.1461897,3.1238732,3.8121498,6.5139203,5.258412,7.0062366,5.9075227,2.031998,5.829893,6.470476,5.7226934,4.821082,4.3045406,5.6185384,6.4097004,3.881579,7.408785,5.4827623,5.5437584,3.8331835,2.9090772,4.031144,2.9116614,5.3301497,7.092521,5.3386235,4.861178,5.2329044,4.4466696,6.3602753,4.5880976,6.2978716,3.9845889,5.549408,6.1523595,6.425772,6.6593537,3.6357965,3.6561856,7.3707576,4.1194086,4.7477465,2.6298647,4.098078,3.6142411,4.9933243,4.6048927,5.7340736,5.7361617,4.758565,3.5628817,3.4351096,7.0613585,4.764368,8.1295185,6.419252,4.5507174,5.657538,4.061625,5.7612934,5.7770348,5.924597,6.7010636,3.6202974,3.9777105,7.5442457,4.948043,5.411336,6.0772595,5.298643
1990,6,5.941668,4.823496,4.0415187,5.3656907,7.1980343,4.556859,6.5770226,3.6645083,5.050139,4.0754385,5.887414,4.9727864,5.3604937,5.7139525,4.340969,4.724446,3.531979,5.5608907,4.9866047,3.5823789,4.022477,2.8112862,4.2253704,6.216917,3.9872231,5.300627,3.6097991,6.6448803,5.214867,4.165386,3.12823,2.9067752,2.398486,2.675404,3.665477,5.7771187,5.291244,4.884002,5.1947985,5.09036,6.2479954,5.6563706,6.1581006,4.799597,7.1112323,5.3977637,5.127569,5.803266,5.2108765,4.482269,6.513178,5.4932127,2.4138672,6.8264747,3.978237,4.5813565,3.9058862,5.428375,4.928846,2.8498597,4.580614,7.352199,3.610347,2.770033,3.841702,3.834185,5.156411,4.447441,2.9552057,6.081112,7.4259214,6.0767574,7.079745,6.637669,5.176279,4.2706227,8.041559,6.38021,5.1066875,6.675177,6.237571,3.865379,4.669223,5.5587115,8.714067,3.0733173,5.126835,4.35269,6.8719435,9.699149,5.2130904,4.8545036,5.3560658,5.2857456,6.566079,5.380153,5.3852715,4.9209394,4.0819545,5.890333,4.0726733,3.9436293,5.9229326,5.193392,7.2257996,5.42724,2.3051906,6.3873296,6.6352806,5.7364964,4.9017887,4.4852896,5.897171,4.783109,4.072249,5.925554,6.255987,5.5149817,3.3860788,2.9282157,4.734055,3.1475294,5.3521485,7.2248106,5.1675024,5.3103614,4.8710155,4.9480977,7.2140965,4.408345,5.0290656,4.112196,5.8896413,6.2212954,5.936405,6.1961436,3.6614697,3.9207828,9.448816,4.0149584,4.649428,2.4878898,3.834753,3.4091103,4.287317,5.5246906,6.97774,5.9713483,4.7283034,4.817619,3.2991867,6.639319,5.1501865,8.3151455,6.084982,5.2528443,5.7746625,4.142535,5.8732867,5.7248287,5.7263155,6.725493,3.5462854,4.4355636,7.136052,4.972895,6.1226416,6.019862,5.504745
1990,7,6.383081,5.5094547,3.9129977,5.479375,6.8683186,4.8685656,6.468877,4.0593357,5.3001404,4.4177656,6.610811,4.859623,4.701497,5.569818,4.2181087,5.110223,3.7113976,5.979328,4.7649345,4.204561,3.9225228,2.5368302,3.766879,6.0816407,3.313285,4.9883676,3.823693,6.673839,5.1342897,4.505035,3.190241,3.213441,2.5024781,2.7128222,3.507974,5.6646667,4.974898,5.5862966,6.3205523,6.040386,8.195436,6.0109644,6.223318,4.6352105,6.2030406,6.165748,4.9534492,5.7897487,5.2722054,4.709975,6.413645,5.88152,2.5446622,7.2030573,3.535519,4.7272005,4.2890153,4.747804,4.5624256,3.0346055,4.103539,6.9675055,3.3833005,2.491249,3.6156366,4.3474207,5.354854,5.022999,2.9752407,6.419835,7.496691,6.3681984,6.9958186,7.055126,4.507529,4.281462,7.560178,6.020987,4.5147758,5.755738,6.48162,4.091712,4.2445836,5.053984,8.183747,2.874323,4.546256,5.0461597,6.538781,8.262476,5.4592834,5.3845196,6.4381304,5.4636364,6.3890257,5.252949,5.9313745,4.340943,3.761287,5.73935,4.0379734,4.1003804,5.312713,5.4265285,6.6499834,5.8471107,2.1546242,6.555821,5.8531704,5.878971,4.806239,4.3181057,7.005113,4.772255,3.8904104,5.7360487,7.8633575,5.5262184,3.330599,3.0799048,4.1162434,3.351007,6.4407434,7.3099647,4.7772245,5.441962,5.3992267,4.4406247,5.9868913,4.1618547,4.800066,4.3952575,6.116196,5.6438794,5.2640357,7.348685,4.6305375,3.7593148,10.17304,4.07909,3.8580554,2.2971113,4.3836355,3.8763905,4.795632,4.966208,7.191504,5.2498937,4.84872,4.398871,3.7699976,6.2917604,5.357066,7.1403837,5.518697,5.518646,6.1717267,3.8400576,5.5705285,5.829537,5.0833693,6.0555425,3.2769647,4.3693247,7.0078106,5.745237,6.2399487,6.93394,5.6359496
1990,8,5.7218113,5.5288415,3.7360222,4.9899654,7.392369,4.704151,6.644452,3.8986218,5.2448506,4.755833,5.4528394,4.2237954,4.156048,4.444937,4.224636,3.5556846,3.7912207,5.4675584,4.669875,4.117184,4.3887835,2.8189087,3.5632033,6.3096123,3.1482296,4.9601665,3.3456995,7.2026806,4.7953176,4.047095,3.1845162,3.0968661,2.4039016,2.7109814,3.7160096,5.15014,4.8104124,5.2348323,5.578762,5.7536564,7.115814,5.4274645,6.387686,4.987642,6.788293,5.906614,4.7422824,5.6203322,5.269995,3.9190457,5.723399,5.163267,2.569729,7.031294,3.4110532,3.9433362,4.219548,3.9582748,4.2207613,3.1313524,4.0355153,8.037633,3.5692413,2.4955041,3.8021166,4.2922235,4.9259133,4.7913837,3.1017883,5.4894557,7.084449,6.0760565,6.973479,6.232326,4.5005608,3.9859674,6.516203,5.5092845,4.932385,5.9332623,6.92365,4.17077,4.808206,4.1034193,8.574772,2.7497318,4.357792,4.98702,6.480198,9.135071,5.120562,4.666461,5.5261397,5.329054,6.204024,5.2885413,5.8400784,4.4010777,3.4609857,5.365117,3.4442506,4.0725374,5.108751,5.843026,6.020325,6.340445,2.3931224,6.439399,6.113234,5.600606,4.1230464,4.454502,5.9661546,4.8834605,3.5198157,5.968222,6.2102423,4.575339,3.5133557,3.1301281,5.866859,3.590707,5.390126,6.615523,4.1543403,5.115403,5.96618,4.1719284,5.720188,4.20183,4.852809,4.4106984,5.5002246,5.7987523,4.2864513,7.0302386,4.5029607,4.0235763,10.190131,4.2266946,3.3488803,2.405052,4.2820525,3.8964593,4.2805767,5.4009037,6.851284,5.076993,4.017412,4.6022754,3.6144662,6.677454,5.1568174,5.966269,5.3269854,5.4776516,6.4393444,3.3494391,5.1063957,6.1690993,4.97387,6.2374663,3.063687,4.4361644,5.4107485,5.1411533,6.5079255,7.3200574,6.3354683
1990,9,5.0714583,5.5204883,3.8257403,4.3033147,7.3110213,4.4804254,6.934318,4.444804,5.1226563,4.3491793,6.918391,3.9278786,3.925694,4.4555893,4.659081,4.4810405,3.9161441,6.7826033,4.014942,4.3727555,4.324387,2.6372085,3.654938,6.955755,2.9231603,5.7129693,3.954517,6.442903,4.8626966,3.578023,2.834222,2.792305,2.1345358,2.4598222,3.2602189,5.0046134,4.404999,6.617035,6.7090535,4.151461,8.237241,4.43925,6.3372393,4.1300035,6.796112,4.269631,4.6127954,6.6736126,4.4965334,4.5213685,5.8979273,5.8069477,2.3929915,7.570003,3.992449,3.4968379,3.576779,3.5652914,3.625416,3.0157132,4.111371,9.483742,3.0252874,2.3573632,3.1215856,4.372546,3.8752608,5.67065,3.286818,4.765865,6.870409,5.149286,5.9133716,8.785709,4.6031413,4.3972425,4.4060836,5.428929,5.19107,6.381008,6.9422436,3.9700081,3.7602034,5.1602383,7.671686,2.4377067,4.232881,4.4494386,6.464936,7.009587,5.29301,6.11584,6.4547114,6.3301225,5.9956923,6.0479445,5.6566396,4.05612,3.831257,5.2030077,2.974158,4.1033936,5.793817,6.48324,5.5486665,7.0347424,2.249249,6.58921,6.4982533,5.8865967,3.890586,3.4536266,7.546177,6.2271094,3.4034019,5.5421925,5.288245,4.671782,3.665755,3.035924,4.1492934,3.5819912,7.383932,5.1097155,4.4823914,4.732664,6.3172083,4.22264,4.9394584,5.033268,5.036583,4.266104,5.2593274,5.8211513,4.054498,5.732746,3.815854,3.2911904,8.883961,4.3829436,3.2700152,2.4713922,4.984306,3.8902204,4.689557,5.545236,5.5764923,6.0191875,3.6820362,3.436855,3.1390777,6.397319,5.692679,5.072897,5.401276,4.6119223,6.4836187,3.2267184,6.10685,6.5433135,5.3664207,6.230759,2.681968,4.1157055,7.5691633,4.7063823,6.046485,7.4603577,6.978221
1990,10,4.6576796,4.200411,4.1454496,4.403676,7.540255,3.9341395,6.734064,4.616002,4.447907,4.151265,8.162059,4.0633574,4.135085,3.9357953,4.714538,7.3038373,4.026827,7.3187313,3.463485,3.7856421,4.029337,2.6807556,3.1554348,6.713882,3.0245087,5.8269935,4.10849,7.348266,4.888543,3.619874,2.7349331,2.4706068,2.096049,2.2167745,3.5576847,6.5683246,4.8484173,6.863408,7.1409144,6.507306,9.026545,4.5377765,5.3436666,3.463675,6.065694,5.7166095,6.7539783,8.311427,4.357865,5.174559,6.9312577,6.7142086,2.3272173,9.37921,3.6984951,3.9377627,3.1249561,3.8362114,3.4382288,2.7061193,4.3101883,10.16055,3.153778,2.5161865,3.345533,4.656709,4.363786,5.598241,2.9455328,4.0247593,9.7607565,5.0397916,5.09091,9.224234,4.484865,4.706359,4.6228228,5.345402,5.039377,6.8402696,6.1723537,4.2617207,3.6891015,4.4068413,6.0605025,3.150904,4.5122204,3.8326645,5.928768,5.3308077,6.263147,6.819256,7.1890926,7.3658724,5.7911572,6.3292036,5.57984,4.47878,3.8817532,5.318767,2.7422326,4.3497357,5.8047676,6.690661,6.0261645,7.275465,2.305448,6.1270533,5.340395,6.187411,3.7571065,3.1044672,8.85984,7.0943146,3.14957,6.01367,4.6116233,4.3733687,4.6580524,2.851943,4.4731703,3.2744608,7.460863,5.141094,4.503412,6.829064,5.795475,4.2861075,4.9320817,5.152956,5.9500456,3.9262803,5.60375,5.934743,4.168829,5.5748835,3.1008413,3.901893,5.851507,5.466527,3.7501483,2.740898,5.286216,4.159856,5.2862425,5.961433,5.236778,6.446925,3.8399122,4.107757,3.388092,5.479242,4.2370133,5.7458587,5.520871,4.71517,6.024545,3.3486915,6.586659,6.1809998,6.176309,5.588777,2.6201627,4.525342,6.7597027,5.28144,6.440642,7.0214024,7.0173473
